last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Beeks, Jalen,656222,263,10.5,34.6,114.7,87.0,92.3,83.4,438,165,410,92,35.0,17,6.5,4.5
Parker, Blake,453284,125,12.4,36.0,114.7,89.1,93.0,86.2,444,176,408,52,41.6,9,7.2,4.7
Oberg, Scott,623184,142,6.9,28.9,114.7,87.2,92.9,84.2,439,150,412,52,36.6,9,6.3,4.0
Bailey, Homer,456701,373,12.0,32.4,114.7,89.7,93.4,87.7,432,169,392,141,37.9,21,5.6,3.9
Hudson, Dakota,641712,406,2.4,32.0,114.6,89.4,95.1,86.6,444,137,403,166,40.9,30,7.4,5.3
Yacabonis, Jimmy,642231,134,15.6,38.1,114.6,90.7,95.2,86.9,455,189,419,54,40.3,15,11.2,7.8
Warren, Adam,476589,86,7.5,38.4,114.6,86.4,91.9,79.9,449,183,395,30,34.9,7,8.1,5.6
Minter, A.J.,621345,80,11.3,36.3,114.5,87.0,91.6,82.0,416,188,393,27,33.8,4,5.0,2.9
Chavez, Jesse,445926,238,12.9,34.5,114.5,87.7,93.4,83.0,433,175,408,82,34.5,21,8.8,6.2
Ramirez, Noe,598287,127,16.9,36.2,114.4,87.0,94.0,78.6,443,190,394,41,33.1,9,7.1,4.4
Odorizzi, Jake,543606,342,18.3,36.3,114.4,87.8,91.9,84.2,462,194,398,121,35.5,31,9.1,5.9
Tepera, Ryan,572193,36,18.3,41.7,114.4,91.3,96.2,87.0,445,206,418,15,41.7,4,11.1,7.8
Leake, Mike,502190,520,10.6,32.5,114.4,91.1,95.0,88.5,463,174,404,228,44.1,49,9.4,7.5
Hernandez, David,456696,124,19.1,38.7,114.4,88.1,91.1,84.2,433,209,399,43,35.2,11,8.9,5.5
Turnbull, Spencer,605513,327,9.8,32.7,114.4,88.9,93.3,86.3,444,163,394,126,38.7,19,5.8,3.9
Ryan, Kyle,594986,130,5.9,26.9,114.4,88.4,91.9,87.5,399,144,372,53,40.8,3,2.3,1.6
Drake, Oliver,543118,77,7.1,28.6,114.4,89.0,93.6,86.9,429,150,387,29,38.2,7,9.1,5.3
Littell, Zack,641793,72,14.3,45.8,114.4,92.9,95.6,91.6,424,184,406,40,55.6,8,11.1,7.9
Burnes, Corbin,669203,136,9.8,36.8,114.4,89.0,92.7,86.6,453,169,407,55,40.7,17,12.5,7.6
Taillon, Jameson,592791,118,7.0,33.1,114.4,87.7,93.1,84.0,397,153,384,47,39.8,8,6.8,5.1
Elias, Roenis,606273,141,14.9,40.4,114.4,87.8,92.9,81.6,416,197,388,48,36.1,10,7.1,4.9
Miley, Wade,489119,418,7.3,26.1,114.3,87.3,91.0,84.9,441,145,386,126,32.0,19,4.5,3.2
Ray, Robbie,592662,348,12.3,38.2,114.3,86.1,92.7,80.0,448,183,413,127,36.6,34,9.8,5.6
Plesac, Zach,668676,240,12.9,34.2,114.3,89.1,92.7,86.4,442,178,396,90,37.5,19,7.9,5.7
Swanson, Erik,657024,139,15.6,38.1,114.3,90.9,95.9,85.3,453,197,403,58,41.7,18,12.9,9.7
Sabathia, CC,282332,282,14.6,36.9,114.3,86.8,90.8,83.6,432,186,387,88,31.4,25,8.9,6.2
McFarland, T.J.,519008,161,0.1,28.0,114.3,87.3,93.6,84.1,458,120,427,65,40.9,10,6.2,4.7
Miller, Justin,502522,48,24.4,29.2,114.3,88.0,93.5,79.4,429,223,403,17,35.4,6,12.5,9.2
Soroka, Mike,647336,394,4.8,29.2,114.3,86.8,91.0,85.0,422,138,399,143,36.4,16,4.1,3.0
Harper, Ryne,607560,139,14.4,39.6,114.3,87.9,92.9,83.0,409,185,388,50,36.0,9,6.5,4.7
Clarke, Taylor,664199,210,15.3,32.4,114.3,89.9,93.9,86.6,458,191,404,86,41.1,26,12.4,9.0
Smyly, Drew,592767,241,19.0,36.1,114.2,88.9,92.8,84.4,458,215,401,96,39.8,25,10.4,6.8
Familia, Jeurys,544727,112,9.5,28.6,114.2,87.6,90.9,85.8,416,154,393,38,34.2,7,6.3,3.6
Sipp, Tony,448609,64,17.2,37.5,114.2,88.1,91.0,85.4,419,188,419,22,34.4,4,6.3,4.3
Lopez, Pablo,641154,218,9.4,31.7,114.2,87.9,91.8,85.8,420,152,399,80,36.7,16,7.3,5.1
Quintana, Jose,500779,431,12.0,36.0,114.2,88.8,92.8,86.3,468,177,406,155,37.6,26,6.0,4.3
Ross, Tyson,475115,118,7.0,33.9,114.1,89.2,95.9,85.1,419,155,386,51,43.2,14,11.9,8.6
Williams, Trevor,592866,343,15.8,35.0,114.1,87.7,92.9,83.7,454,187,402,126,36.7,26,7.6,5.7
