last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Herrmann, Chris,543302,45,8.3,24.4,105.0,87.3,90.8,86.4,410,126,407,14,31.1,3,6.7,3.8
Davis, Jonathan,641505,37,6.9,35.1,105.0,83.1,88.4,77.9,411,152,411,8,21.6,2,5.4,3.8
Harrison, Josh,543281,112,19.5,30.4,105.0,85.3,89.4,83.1,417,180,417,32,29.1,5,4.5,3.4
Wilkerson, Stevie,592859,176,9.4,34.7,104.9,86.1,92.0,82.2,423,161,392,58,33.0,8,4.5,2.8
Kiner-Falefa, Isiah,643396,105,3.5,31.4,104.9,86.5,88.7,85.0,397,133,397,34,32.4,2,1.9,1.3
Mahle, Tyler,641816,18,-18.8,5.6,104.9,77.6,92.9,75.7,334,76,,4,22.2,0,0.0,0.0
Mayfield, Jack,608686,34,18.5,23.5,104.9,84.9,87.0,81.9,393,180,393,5,14.7,1,2.9,2.3
Merrifield, Whit,593160,432,15.0,44.0,104.8,86.6,91.0,80.8,434,187,392,130,30.2,21,4.9,3.7
Holaday, Bryan,592407,71,10.7,32.4,104.8,88.1,92.8,85.9,385,148,379,24,33.8,1,1.4,1.1
Buehler, Walker,621111,25,-5.6,24.0,104.8,81.8,90.3,77.7,409,142,409,9,36.0,1,4.0,1.9
Kemp, Matt,461314,42,13.8,35.7,104.7,87.5,92.5,82.1,381,185,349,12,30.0,1,2.4,1.6
Strasburg, Stephen,544931,41,-7.6,26.8,104.7,83.7,93.2,79.8,420,116,420,14,34.1,1,2.4,1.6
Marquez, German,608566,42,1.4,26.2,104.6,67.3,84.8,57.0,384,129,,6,14.3,1,2.4,1.8
Biggio, Cavan,624415,160,18.7,42.5,104.6,89.0,91.5,84.9,429,219,393,65,40.6,15,9.4,5.1
McGuire, Reese,624512,27,11.4,40.7,104.5,86.8,93.0,82.0,400,176,376,9,33.3,1,3.7,2.9
Fletcher, David,664058,399,9.3,39.3,104.5,84.6,87.6,82.8,413,163,383,73,18.6,2,0.5,0.4
Bolt, Skye,621450,5,19.8,40.0,104.4,83.5,87.4,81.3,384,222,,1,20.0,1,20.0,12.5
Hendricks, Kyle,543294,20,-4.1,20.0,104.4,74.7,90.7,68.5,367,125,,4,20.0,0,0.0,0.0
Garcia, Aramis,605244,9,19.2,22.2,104.4,84.0,91.5,72.9,404,207,370,3,37.5,1,11.1,5.0
Paddack, Chris,663978,24,-13.1,20.8,104.4,76.7,90.8,72.9,294,87,,4,16.7,0,0.0,0.0
Molina, Yadier,425877,247,13.1,40.1,104.4,86.3,91.3,82.3,402,166,401,76,32.1,8,3.2,2.7
Stamets, Eric,608715,19,21.2,36.8,104.3,83.9,93.0,72.8,367,190,,4,21.1,1,5.3,2.1
Jackson, Edwin,429719,1,3.9,0.0,104.3,104.3,,104.3,134,134,,1,100.0,0,0.0,0.0
Lavarnway, Ryan,543432,13,10.6,38.5,104.3,87.9,94.1,78.1,428,217,395,5,38.5,1,7.7,5.3
Butera, Drew,460077,14,13.1,28.6,104.2,83.5,86.4,79.7,300,148,,5,35.7,0,0.0,0.0
Cozart, Zack,446359,84,21.6,31.0,104.2,85.9,88.8,84.9,382,186,,18,21.4,1,1.2,0.9
Maeda, Kenta,628317,39,-6.2,12.8,104.2,72.1,77.9,70.0,274,98,,4,10.3,0,0.0,0.0
