Name,Team,Position,PA,EV,HH%,wOBA,xwOBA,Trend,playerElo
Mike Soroka,Atlanta Braves,SP,638,87.5,37.9,0.274,0.304,-3,1106.6311584553928
Carlos Martinez,St. Louis Cardinals,RP,169,86.2,32.4,0.266,0.285,37,1104.6311584553928
Nick Anderson,Tampa Bay Rays,RP,236,90.1,42.5,0.266,0.254,90,1103.6311584553928
Jose Alvarez,Philadelphia Phillies,RP,230,85.5,31,0.319,0.297,3,1103.6311584553928
Zack Greinke,Houston Astros,SP,739,86.8,32.7,0.27,0.283,39,1103.6311584553928
Stephen Strasburg,Washington Nationals,SP,747,87.5,33.3,0.27,0.262,51,1102.6311584553928
Trevor May,Minnesota Twins,RP,235,87.3,33.1,0.259,0.281,70,1100.6311584553928
Reyes Moronta,San Francisco Giants,RP,245,87.2,35.7,0.276,0.289,-2,1100.6311584553928
Dallas Keuchel,Atlanta Braves,SP,386,87.4,36.5,0.326,0.324,57,1099.6311584553928
Emilio Pagan,Tampa Bay Rays,RP,238,88.7,32.1,0.24,0.213,63,1099.6311584553928
Zac Gallen,Arizona Diamondbacks,SP,310,86.9,34.8,0.283,0.288,39,1098.6311584553928
Alex Colome,Chicago White Sox,RP,215,90.7,40.8,0.248,0.33,15,1097.6311584553928
Walker Buehler,Los Angeles Dodgers,SP,669,88.8,36.5,0.271,0.272,12,1097.6311584553928
Keone Kela,Pittsburgh Pirates,RP,96,88.6,30.5,0.28,0.277,57,1097.6311584553928
Tyler Duffey,Minnesota Twins,RP,208,87.6,35.2,0.267,0.261,86,1095.6311584553928
Ryan Yarbrough,Tampa Bay Rays,SP,497,83.9,26,0.252,0.282,7,1094.6311584553928
Tony Sipp,Washington Nationals,RP,92,88.1,34.4,0.284,0.339,11,1094.6311584553928
Mychal Givens,Baltimore Orioles,RP,221,88.8,39.3,0.288,0.29,51,1094.6311584553928
Aaron Civale,Cleveland Indians,SP,184,86.3,30.8,0.266,0.27,27,1092.6311584553928
Julio Teheran,Atlanta Braves,SP,696,88.1,34.8,0.301,0.316,50,1091.6311584553928
Shawn Kelley,Texas Rangers,RP,177,87.6,33.8,0.347,0.346,-23,1091.6311584553928
Brandon Kintzler,Chicago Cubs,RP,215,88.9,41.8,0.268,0.291,-4,1091.6311584553928
Hector Neris,Philadelphia Phillies,RP,252,87.6,32.6,0.27,0.265,57,1089.6311584553928
Julio Urias,Los Angeles Dodgers,SP,298,83.3,25.9,0.269,0.271,29,1088.6311584553928
Clayton Kershaw,Los Angeles Dodgers,SP,630,87.5,33.4,0.286,0.295,-23,1088.6311584553928
Kevin Ginkel,Arizona Diamondbacks,RP,65,89,34.2,0.218,0.265,84,1088.6311584553928
John Gant,St. Louis Cardinals,RP,248,86.6,29.9,0.273,0.285,38,1087.6311584553928
Marcus Walden,Boston Red Sox,SP,295,89.3,34.7,0.272,0.295,11,1087.6311584553928
Will Smith,San Francisco Giants,RP,237,88.7,39.7,0.273,0.269,-1,1087.6311584553928
Michael Lorenzen,Cincinnati Reds,SP,318,84.8,31.1,0.292,0.28,54,1086.6311584553928
James Pazos,Colorado Rockies,SP,7,78.3,0,0.261,0.236,86,1085.6311584553928
Keynan Middleton,Los Angeles Angels,RP,14,94,37.5,0.21,0.356,85,1084.6311584553928
Kyle Ryan,Chicago Cubs,RP,228,88.6,42.4,0.272,0.29,16,1084.6311584553928
Justin Wilson,New York Mets,RP,143,84.3,28.9,0.3,0.284,46,1083.6311584553928
Chad Green,New York Yankees,RP,265,92.1,47.2,0.331,0.328,37,1082.6311584553928
Kyle Hendricks,Chicago Cubs,SP,655,85.4,30.5,0.293,0.292,25,1082.6311584553928
Michael Pineda,Minnesota Twins,SP,600,88.9,36.7,0.305,0.314,48,1082.6311584553928
Wander Suero,Washington Nationals,RP,266,88.9,34.5,0.287,0.309,62,1082.6311584553928
Arodys Vizcaino,Atlanta Braves,SP,17,88.2,50,0.384,0.408,83,1082.6311584553928
Rich Hill,Los Angeles Dodgers,SP,217,84.2,26.8,0.299,0.265,11,1082.6311584553928
Sam Dyson,Minnesota Twins,RP,249,87.4,36,0.277,0.289,-6,1081.6311584553928
Lucas Giolito,Chicago White Sox,SP,681,87.7,34.6,0.277,0.278,27,1079.6311584553928
