last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Bote, David,623520,2019,315,192,.262,.256,.006,.435,.383,.052,.341,.326,.015
Pinder, Chad,640461,2019,315,220,.235,.241,-.006,.412,.407,.005,.298,.305,-.007
La Stella, Tommy,600303,2019,312,256,.300,.293,.007,.495,.463,.032,.362,.352,.010
Lucroy, Jonathan,518960,2019,311,234,.240,.241,-.001,.358,.366,-.008,.291,.300,-.009
Bruce, Jay,457803,2019,311,216,.229,.240,-.011,.549,.526,.023,.340,.345,-.005
Adams, Matt,571431,2019,311,185,.232,.229,.003,.488,.477,.011,.322,.327,-.005
Kendrick, Howie,435062,2019,310,240,.330,.314,.016,.559,.576,-.017,.393,.405,-.012
Correa, Carlos,621043,2019,310,203,.279,.286,-.007,.558,.526,.032,.381,.388,-.007
Lowe, Brandon,664040,2019,307,176,.276,.237,.039,.523,.474,.049,.363,.338,.025
Barnhart, Tucker,571466,2019,307,195,.234,.222,.012,.381,.321,.060,.306,.285,.021
Phegley, Josh,572033,2019,307,234,.246,.244,.002,.413,.358,.055,.298,.283,.015
Severino, Pedro,600474,2019,305,209,.255,.261,-.006,.420,.407,.013,.320,.324,-.004
Hedges, Austin,595978,2019,303,185,.193,.202,-.009,.342,.354,-.012,.261,.271,-.010
Garver, Mitch,641598,2019,303,193,.273,.245,.028,.618,.523,.095,.403,.364,.039
Gamel, Ben,592325,2019,301,178,.253,.237,.016,.389,.352,.037,.314,.304,.010
Garcia, Greg,594824,2019,300,189,.255,.221,.034,.373,.297,.076,.324,.290,.034
Hicks, John,543308,2019,299,190,.213,.202,.011,.378,.339,.039,.264,.249,.015
Suzuki, Kurt,435559,2019,298,238,.263,.273,-.010,.478,.436,.042,.338,.334,.004
Gallo, Joey,608336,2019,297,129,.253,.224,.029,.598,.581,.017,.406,.396,.010
Sandoval, Pablo,467055,2019,296,210,.268,.271,-.003,.507,.469,.038,.341,.337,.004
Buxton, Byron,621439,2019,295,206,.262,.247,.015,.513,.421,.092,.345,.310,.035
Cuthbert, Cheslor,596144,2019,295,220,.247,.248,-.001,.380,.367,.013,.287,.286,.001
Hiura, Keston,669374,2019,295,177,.301,.263,.038,.571,.510,.061,.394,.362,.032
Naquin, Tyler,571980,2019,294,212,.288,.274,.014,.467,.458,.009,.334,.328,.006
Dietrich, Derek,518618,2019,293,167,.197,.217,-.020,.487,.437,.050,.354,.353,.001
Castro, Harold,605612,2019,291,212,.281,.252,.029,.378,.356,.022,.287,.273,.014
Diaz, Elias,553869,2019,291,220,.254,.241,.013,.325,.323,.002,.278,.277,.001
Tauchman, Mike,643565,2019,288,184,.276,.242,.034,.492,.398,.094,.362,.319,.043
Martin, Richie,621006,2019,285,187,.195,.206,-.011,.287,.273,.014,.237,.239,-.002
Gomes, Yan,543228,2019,284,185,.215,.209,.006,.344,.356,-.012,.289,.294,-.005
Alvarez, Yordan,670541,2019,283,170,.317,.290,.027,.671,.600,.071,.443,.417,.026
Haniger, Mitch,571745,2019,283,167,.220,.219,.001,.463,.433,.030,.330,.324,.006
Duggar, Steven,621453,2019,281,186,.234,.239,-.005,.341,.344,-.003,.268,.278,-.010
Kinsler, Ian,435079,2019,281,205,.217,.200,.017,.368,.289,.079,.280,.247,.033
Marisnick, Jake,545350,2019,280,175,.237,.200,.037,.420,.321,.099,.305,.257,.048
White, Tyler,643603,2019,279,165,.208,.199,.009,.304,.295,.009,.276,.273,.003
Arraez, Luis,650333,2019,278,224,.343,.297,.046,.445,.404,.041,.370,.343,.027
McCann, Brian,435263,2019,277,202,.260,.242,.018,.417,.392,.025,.321,.316,.005
Parra, Gerardo,467827,2019,277,200,.221,.237,-.016,.360,.353,.007,.277,.287,-.010
Pollock, A.J.,572041,2019,275,190,.259,.255,.004,.441,.404,.037,.323,.318,.005
Gregorius, Didi,544369,2019,271,218,.253,.247,.006,.463,.402,.061,.314,.296,.018
Flowers, Tyler,452095,2019,271,153,.238,.198,.040,.429,.370,.059,.319,.286,.033
Zunino, Mike,572287,2019,270,156,.170,.194,-.024,.316,.376,-.060,.244,.278,-.034
Martin, Leonys,547982,2019,264,161,.199,.190,.009,.343,.330,.013,.272,.266,.006
Moreland, Mitch,519048,2019,263,174,.240,.250,-.010,.489,.471,.018,.347,.352,-.005
McCutchen, Andrew,457705,2019,262,164,.256,.250,.006,.457,.427,.030,.362,.354,.008
Hicks, Aaron,543305,2019,255,152,.235,.208,.027,.443,.374,.069,.329,.299,.030
Lagares, Juan,501571,2019,255,166,.204,.206,-.002,.300,.285,.015,.247,.248,-.001
Riley, Austin,663586,2019,255,147,.242,.237,.005,.504,.476,.028,.331,.325,.006
Dickerson, Corey,572816,2019,251,188,.310,.260,.050,.556,.454,.102,.373,.321,.052
Rodriguez, Ronny,500135,2019,250,171,.229,.219,.010,.470,.421,.049,.297,.286,.011
Edman, Tommy,669242,2019,249,194,.282,.265,.017,.433,.391,.042,.318,.299,.019
Hampson, Garrett,641658,2019,246,155,.215,.215,.000,.318,.278,.040,.258,.250,.008
Calhoun, Willie,641432,2019,245,190,.271,.257,.014,.533,.418,.115,.354,.315,.039
Castro, Jason,488771,2019,242,136,.238,.247,-.009,.452,.512,-.060,.337,.366,-.029
Kemp, Tony,643393,2019,241,177,.211,.205,.006,.371,.285,.086,.281,.257,.024
Shaw, Travis,543768,2019,240,129,.159,.185,-.026,.271,.327,-.056,.246,.278,-.032
Camargo, Johan,622666,2019,239,185,.228,.243,-.015,.366,.340,.026,.272,.273,-.001
Guzman, Ronald,608597,2019,237,139,.200,.227,-.027,.395,.414,-.019,.293,.322,-.029
Barnes, Austin,605131,2019,236,155,.198,.191,.007,.333,.291,.042,.270,.254,.016
Upton, Justin,457708,2019,236,134,.214,.211,.003,.413,.390,.023,.310,.306,.004
McKinney, Billy,641856,2019,236,160,.217,.224,-.007,.415,.352,.063,.291,.276,.015
Mathis, Jeff,425772,2019,236,139,.159,.161,-.002,.223,.218,.005,.193,.196,-.003
Moore, Dylan,664238,2019,235,128,.217,.200,.017,.399,.337,.062,.315,.290,.025
Murphy, Tom,608596,2019,231,141,.275,.208,.067,.573,.424,.149,.367,.288,.079
Inciarte, Ender,542255,2019,230,159,.246,.232,.014,.397,.312,.085,.321,.292,.029
